,,,,,,,,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),Blank#1_Seg1Ev2,Blank#2_Seg1Ev2,Blank#3_Seg1Ev2,Blank#4_Seg1Ev2,Blank#5_Seg1Ev2,Blank#6_Seg1Ev2,Blank#7_Seg1Ev2,Blank#8_Seg1Ev2,Blank#9_Seg1Ev2,Blank#10_Seg1Ev2,Blank#11_Seg1Ev2,cR8#1_Seg1Ev2,cR8m#1_Seg1Ev2,cR8w#1_Seg1Ev2,cR15#1_Seg1Ev2,cR15m#1_Seg1Ev2,cR15w#1_Seg1Ev2,cR26#1_Seg1Ev2,cR26m#1_Seg1Ev2,cR26w#1_Seg1Ev2,cR27#1_Seg1Ev2,cR27m#1_Seg1Ev2,cR27w#1_Seg1Ev2,cR36-2#1_Seg1Ev2,cR36-2m#1_Seg1Ev2,cR36-2w#1_Seg1Ev2,cR41m#1_Seg1Ev2,cR41w#1_Seg1Ev2,cR44#1_Seg1Ev2,cR44m#1_Seg1Ev2,cR44w#1_Seg1Ev2,cR59#1_Seg1Ev2,cR59m#1_Seg1Ev2,cR59w#1_Seg1Ev2,cR72#1_Seg1Ev2,cR72m#1_Seg1Ev2,cR72w#1_Seg1Ev2
1.01_379.0887m/z,379.088668449,1,1.0133333333,0,0,0,0,0,0,0,0,0,0,0,51073.6466125719,57701.5836181631,32123.2723999004,211873.092068743,165444.07434164,158943.874726837,23364.8949584968,26166.0717450658,8157.8292641013,129557.605901946,107100.179992678,74813.6896707522,22564.4078674307,82030.4117000869,37164.0747680669,179288.076507574,99344.9180411096,9260.6516723633,14168.9060668954,2677.8479919431,467848.689782087,237010.989765386,295569.880338133,237350.243959528,265983.419278697,40804.5664978031
1.01_455.1069m/z,455.1069249457,1,1.0133333333,0,0,0,0,0,0,0,0,0,0,0,133934.941061844,362415.60206224,275622.590395374,13824.8174128733,35636.7101341631,14197.7047712005,202858.276498669,149207.694432424,97173.205922406,41012.4077148456,29419.0893249502,39149.8653265386,50488.4981917161,415465.106578632,176316.370546661,523156.855497848,480037.150575049,9076.5416870123,16818.2685546876,1004.1379089355,338786.350262807,297272.431355228,320378.132198424,104863.812271806,106015.158654784,15690.252227783
1.01_377.0882m/z,377.0882150989,1,1.0133333333,0,0,0,0,0,0,0,0,0,0,0,173899.139813524,208214.142287264,114432.894906151,188309.790553588,321574.540213213,97921.6754703243,96065.0209077677,87872.4144904077,22206.1928100581,390885.372684519,311687.116263147,205673.774842831,43643.8986511235,217555.074493402,84164.0551776842,518016.844851532,318486.130271905,18561.927429198,21574.6123657234,0,1292378.11116764,703573.028156936,863408.556992838,522640.110947592,668971.565090004,141179.91772461
1.03_179.0598m/z,179.0597513043,1,1.0266666667,0,0,0,0,0,0,0,0,0,0,0,39615.7071705923,5010.967086792,12547.1007385248,21755.5574096636,15212.4908139747,19253.0791390735,9603.2642741838,556.0380554199,669.2430725097,3389.8347473146,2632.1078186035,3891.9504824175,14916.3363588944,486.5797729492,2413.496459961,11785.693145752,18237.4994625645,23524.966131169,9101.5420837403,10836.1709629181,13747.7486572264,1962.4101867676,11169.9602970622,22153.5979345243,4548.9306335447,4384.5295562747
1.29_191.0238m/z,191.0237935198,1,1.2933333333,0,0,0,0,645.0190447392,0,157.7323413725,487.2441571773,494.7589104783,0,1034.6016353776,897771.514617155,427310.161247943,1361517.2078634,1048518.97102682,1751676.39984822,1669671.15781965,898796.433722328,355688.730364154,928187.169575132,198625.577330314,233888.071614944,466747.996736129,455949.865410875,229511.525785208,896908.284740469,544019.858125475,1056301.98906496,429388.790928668,105161.950689658,928644.271601745,1694298.34088081,1642022.76557905,2463836.79114602,847627.213602233,541463.426559169,1253225.43853479
1.03_191.0540m/z,191.0539710744,1,1.0266666667,0,0,0,0,0,0,0,0,0,0,0,380987.190888549,110025.931503296,200166.647234411,2234678.5534095,1143727.5614504,1301178.72071229,37784.5392231098,22041.5507566153,76986.3604687747,57355.9557847698,40232.0302925557,65535.6417053154,51215.4810333257,7109.5679016112,65978.8386861735,18096.243194579,14425.5983049927,44431.002868654,34425.8868408205,118576.31491977,48115.8853544713,68432.8560416791,38276.8066155246,20867.2396940935,40894.5087159057,15518.7806976614
0.96_225.0592m/z,225.0591810138,1,0.96,0,0,0,0,0,0,0,0,0,0,0,41134.8776416344,7425.9574279782,13871.7787170412,15012.9639282227,9557.3041763304,13332.4726329806,19879.7906389354,3450.054153442,9877.4558717904,21605.28515625,23759.5038281922,29084.3913636781,20725.3455268177,5347.0534362793,12986.1090698239,9093.8433532717,14432.4628090916,12735.2100524902,2442.0112228393,2958.7806091311,2686.6119079588,857.0626831053,7454.5798492429,2167.6850891112,803.6868896485,1559.8583984376
0.91_264.9348m/z,264.9347735756,1,0.9066666667,0,0,0,0,0,0,0,0,0,0,0,31791.1668194428,51636.5899540979,14797.4957188087,18575.8323063823,11997.7192382806,19577.7701715917,49109.6706095857,37454.7584099921,30368.9329224605,4403.785034179,2158.3353271485,0,51798.6275933941,63812.3410621756,47419.8535536974,29918.312896727,20053.3415962601,31365.9959812108,27444.7909468783,10675.3135837576,11477.0576248601,23411.3147293793,3622.9250488278,6599.6812744139,7336.5165405275,2489.3097839354
0.85_340.9490m/z,340.949035793,1,0.8533333333,0,0,0,0,0,0,0,0,0,0,0,33574.0571015982,17287.4476449247,28924.3142430095,46534.7755737322,56488.6405485853,42135.3745295471,33522.0823750329,19992.3662153623,95638.4657427522,84034.9442070143,69750.8553834996,6662.478713009,81792.4439288426,43913.6250422224,67042.5231072663,134030.026125397,79467.6152259095,24871.8277282716,15256.9968467275,10946.6389770503,40029.7850952201,52117.1945506238,0,45396.6939057841,61542.5654907181,20830.911743162
1.00_195.0545m/z,195.0544784922,1,1,0,0,0,0,0,0,0,0,0,0,0,213984.86257183,76910.9511413577,180802.431166862,579224.019788316,387244.772122224,445919.009296867,528407.673067389,181403.025945784,183621.815093993,14281.2301225685,8338.011410329,18472.307116696,689130.489606607,29722.805160523,78235.8611873504,32158.8439025874,177270.920545289,106709.817626953,87795.9510691647,117889.431416032,44612.2929687502,20432.5768127454,31110.3481445309,47765.7182500495,17834.5460281172,239206.4021826
0.97_520.9138m/z,520.9137567918,1,0.9733333333,124216.822105508,89174.9794175465,132878.882471559,78327.5084262226,72702.6080743038,58177.3392189028,38134.7179055508,37730.296510798,18326.856821624,21948.2695312511,20039.7642822267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97_293.0615m/z,293.0615150962,1,0.9733333333,0,0,0,0,0,0,0,0,0,0,0,273799.525312743,75987.8144683774,83524.800613918,228004.21991851,158954.416659747,184055.691438975,228973.762345369,28272.5981445311,52918.5383911127,200561.676783314,198807.256764281,327894.236922559,323231.042714637,38129.3197091639,155835.459106445,136945.908445078,205858.58725701,259468.559950449,120941.438222444,108500.806056567,263736.317221724,217104.057774605,275521.276708158,155985.162630527,93096.9913848703,67710.7742723587
1.11_601.1386m/z,601.1386313296,1,1.1066666667,0,0,0,0,0,0,0,0,0,0,0,295383.398641442,193551.772662815,401090.482295231,124492.852699488,180967.264366012,250259.262288419,178028.280607697,209911.176560041,539058.112437656,439616.433865228,270337.555967773,1135092.74433108,180891.182031859,945.7266845702,86305.1509774312,117851.155608989,380672.431516271,221434.435373558,136938.68014223,494309.457438026,182313.238484692,143892.647800107,397957.290281422,190808.93503047,155990.942289831,390975.62833025
1.05_341.1109m/z,341.1109319299,1,1.0533333333,0,0,0,0,0,0,0,0,0,0,0,2040284.1343651,4662496.09378999,3158544.36521024,98715.8117982548,662900.536579417,124157.468493579,2901375.09312652,2100127.10267796,2085501.96141667,371064.547911868,415455.082900981,332488.189849117,233784.481911491,2733059.55940421,1396299.17723154,3901898.00461004,3063757.35038778,74014.8906285119,264503.33685312,219554.248341335,912375.071923897,873882.177744922,746822.824707591,611939.480073159,859575.517094316,742749.060603797
1.09_133.0199m/z,133.0198635982,1,1.0933333333,0,0,0,0,0,0,0,0,0,0,0,60294.2655157152,34907.2064915704,58963.949698662,23757.9132287415,24191.3840633007,28794.6095505355,933.2768707275,1782.0780029298,3775.8962860107,58911.3391729064,54629.6935639961,81852.3224251814,28674.3546258264,10172.1790345949,28364.9613380436,31356.3233072972,34046.2351840924,66925.6667873093,34648.1400880645,127060.638429123,85079.2656387651,45122.2988964557,81713.1769155692,86033.7769803452,74111.5931022266,24050.3725088229
1.12_503.1643m/z,503.1643229657,1,1.12,0,0,0,0,0,0,0,0,0,0,0,1038874.69188306,928621.488469103,901556.35225907,89623.3360183244,157375.874737556,161127.507324221,1311555.08901178,2797270.77982328,1765178.24966795,615398.795130606,669963.762471757,626697.370045857,146225.780765421,521459.358160615,326777.494156708,764575.406240802,952391.844649596,1239419.56440169,730355.161353719,167827.48483175,806098.029578286,712365.277618412,1145003.30913307,836952.439727191,384133.618972341,268222.786260536
8.11_329.2348m/z,329.2347648323,1,8.1066666667,1857.3953448927,0,2500.3335571288,0,0,0,0,0,0,0,0,366808.132175141,258261.737508858,282440.401235066,796144.975523356,871853.181552953,277566.791126776,65557.6020202601,50308.1231079128,146568.783117106,128263.187316894,124874.770172115,133268.42973257,151262.383379444,220961.066485134,362990.155645682,66458.2810607977,55352.2799987781,744250.294156697,525565.380189278,931255.421074269,494346.950106094,205867.957809442,775282.438487135,1054389.72132114,700318.403900185,1149631.14075457
1.04_209.0482m/z,209.0482086313,1,1.04,0,0,0,0,0,0,0,0,0,0,0,22828.1604078771,10915.3991851803,27544.2895202624,3058.543762207,1110.1472778321,54452.3898214037,46712.1333007799,36607.2915954579,657756.479248043,7826.3709106438,4363.4893035887,9632.6606750489,55787.6626651527,25176.7768480922,44714.9811024258,7789.3666992187,15661.3099525178,59023.2195022285,26931.1319219706,52498.8153381341,3638.8976135253,2635.4856259822,11318.0028381343,80689.434443826,32668.0050256245,28285.1823425293
1.04_439.0859m/z,439.0859244941,1,1.04,0,0,0,0,0,0,0,0,0,0,0,498365.1928869,856882.991562084,1091467.88996427,291523.117437268,535082.872257966,336357.589288338,423437.101664625,131752.438842781,576057.938334677,381591.255779454,272891.789482601,796898.158809909,41266.3059367048,59944.1594345871,502815.124759132,389343.56887827,888419.49215372,925.3192317973,22560.5634155274,21451.740936044,229453.340195449,149809.329283094,489642.159358405,41133.4474792487,160775.286868744,447060.370765977
1.11_549.1709m/z,549.170935511,1,1.1066666667,0,0,0,0,0,0,0,0,0,0,0,226339.576429812,165157.553575152,200623.065431088,2039.8253479006,18192.3201923236,28525.1967105942,350853.302983631,890772.503194239,508812.05330539,97968.9314084614,119410.127105713,133758.057419168,50761.3222745645,113302.965335598,73666.9113902768,129797.957800951,180179.386553672,365882.466030547,219024.489342206,39775.6077210395,149610.158400884,132756.060470358,204888.7809384,286454.887653233,139925.65922897,51396.3664868771
0.85_408.9329m/z,408.9328932682,1,0.8533333333,0,0,0,0,0,0,0,0,0,0,0,46269.1878051763,20775.0734471179,1226.361273024,44310.829826585,48405.2402153882,33962.2279722986,49861.8979641447,17863.6254965626,58274.5041059887,74834.2013119684,48800.4261336137,3158.3027859354,72100.1081450296,38852.0377690023,50440.3781604394,75561.6677282677,45990.8967055274,23618.7244553304,25764.289428711,3891.0498657225,46993.631290941,48674.2869302593,0,47533.7833862304,42775.1349047856,12168.8485849368
1.04_387.1158m/z,387.1158269233,1,1.04,0,0,0,0,0,0,0,0,0,0,0,523851.744961098,1368094.38079554,837218.752014051,25538.7298901984,147581.829559324,39476.4271240229,814520.437970488,556493.225861713,572893.339983245,92581.4632150111,102048.933902577,119912.628270809,107792.552820314,774577.433848857,409855.572469707,1090470.15736774,798767.718733383,12649.2335205073,76085.6180572516,0,215142.61677296,214286.120849614,178443.221589414,128113.377838134,214708.761093097,129698.290710452
0.85_386.9432m/z,386.9431925788,1,0.8533333333,0,0,0,0,0,0,0,0,0,0,0,22917.5450958856,9345.2956542962,16738.7425915418,32545.2509491092,36687.4283913401,3297.213104248,28279.2541006118,5574.9844330874,31071.6425825049,69043.4084973194,43949.5165344535,1483.0014648436,33638.2550297728,14258.1427260592,15970.9846362538,87537.649842834,15604.356982378,1006.6202087399,5279.247844468,0,17063.0004119865,38245.5508273666,804.6927185058,38524.9327513399,50711.0667251616,7572.7539634887
1.12_637.1898m/z,637.189767362,1,1.12,0,0,0,0,0,0,0,0,0,0,0,192141.954655497,34989.5843505858,114737.468918077,0,1277.9692382817,10785.4555121994,4609.6533813471,4845.3287963866,9776.8841247557,218130.173422786,65953.7706298858,218009.877026523,17404.4871193237,3857.764526368,23296.0980529793,19387.1635218514,55918.9976153092,112659.274290693,54162.3483263472,55016.8838406903,259641.764600479,65921.0926599428,311694.14267935,247219.525481572,54564.8709082045,6917.5838012701
8.97_221.1559m/z,221.1558796957,1,8.9733333333,7191.7644348148,1236.8784790039,0,0,0,0,0,0,0,0,0,36698.0342768452,30263.2788156044,37365.9400631764,32404.9303625214,30498.2626932202,87159.9464144737,26631.3357543953,34339.8845422877,27419.5334895615,26886.9789811733,70443.3075776482,35031.3951429447,31397.7335551133,41731.7945043951,87168.4206177152,11701.5968600697,7010.7863326586,29145.1856436002,34807.0670233136,30937.1145856736,16922.971948106,34135.7772103158,60246.1942719785,50484.1175309874,26498.5375976557,32630.759490967
5.05_387.1456m/z,387.1456170691,1,5.0533333333,0,0,0,0,0,0,0,0,0,0,0,39903.8627624508,3403.6967468259,51205.1539001463,117392.900892005,120936.602176717,48981.558720298,251503.654846185,353879.605361948,418933.359864141,29943.6032251636,5393.4902466747,48703.5297669318,1378.5764465331,0,710.1589050293,23472.1343713992,41997.6297226694,122344.194519048,56190.576919554,90253.295959471,386842.422119132,113373.688323973,303048.440486887,357512.152890899,195721.294372556,268672.083053597
1.01_539.1428m/z,539.1428393143,1,1.0133333333,0,0,0,0,0,0,0,0,0,0,0,11453.4701232899,3931.1047668458,0,2872.637756347,21095.1453270111,866.9109191895,8769.2388380369,42697.4702148442,8907.6350097651,84592.2237548814,74935.0410461536,45757.2148437506,55389.6948852555,4252.9605712889,2325.3410644532,23925.9237378383,12919.1280175895,242362.832787319,173918.625285132,19669.761108398,162300.542663563,93923.8284368211,122397.359008791,1086945.74306101,582082.627622447,77882.7963061958
10.63_295.2290m/z,295.2290331642,1,10.6266666667,1694.8464139492,0,0,0,0,0,0,0,0,0,0,844989.95041629,727296.001214658,35496.6233041908,453500.454972036,563668.209558199,0,615329.378243273,472213.608004055,240208.559675201,60672.028499356,196331.798011856,55342.3343194125,739977.590159748,1171338.1346193,222052.150659588,149724.527816111,92913.3874429301,1103163.81008849,746977.021899453,69861.4786376992,568011.769262784,275774.485824298,203558.413085935,1257709.30349227,729965.13570826,426780.652082476
8.97_293.1777m/z,293.1776902281,1,8.9733333333,82930.2493936708,81873.9082510055,9648.7620849609,3474.6639404293,6293.8093872073,4668.4345092769,5238.5085449228,6044.8625183105,4521.6297912596,1779.0946655269,3033.0665283202,343285.71126967,311638.80092207,350784.656527775,306753.30655398,276073.551472022,705555.937315523,291032.420380844,337489.673875322,300538.412820965,281068.567053766,625597.164296593,346898.236386216,342793.106036924,376164.0439973,781221.642436694,128454.294377018,72874.706909182,292817.097949653,318909.253577692,308490.18982858,173297.99705593,310059.738236602,499795.839188964,445954.001249211,274966.995580029,322212.48364562
8.48_329.2341m/z,329.2340634416,1,8.48,0,0,0,0,0,0,0,0,0,0,0,168860.739159633,56237.097066867,86825.8195193154,101579.710832086,116887.982766243,16060.4115600581,3818.8429260253,10392.2090438498,39896.5496368399,6328.6450702907,5438.0607299804,7122.4516601561,4513.1630249018,4030.0824437763,20680.7794367448,2638.1621704098,0,255871.748473314,131445.486402536,278545.512549394,97211.8586341371,37395.3091314122,195572.835673553,173768.394016688,86841.3588612747,152124.880190188
1.01_530.8697m/z,530.8697095496,1,1.0133333333,56215.7339094478,69057.0038759312,2567.6572265624,14593.0661315902,7100.1390380863,11013.8649395107,6693.2333374036,3780.012695312,1062.8754882813,1709.2754821778,2672.5468749995,0,0,0,13.7701750537,259.6148390872,298.67640374,0,0,0,0,0,212.4761061035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00_329.0901m/z,329.0901321819,1,4,0,0,0,0,0,0,0,0,0,0,0,16903.9057006843,3348.2058715816,16774.7349014948,255805.158988884,275398.997162564,119335.706686531,0,847.0681762695,578.1690282942,1164.4427490234,4778.3145446777,5221.4467683699,111058.21107463,84332.3549499565,97614.533355162,81133.9464416504,98619.3830185054,16159.098873968,11164.5607903052,12439.8129432518,18187.2800292962,2688.2069702147,15704.2397445523,143665.644917654,94507.6567985914,142981.881887495
9.16_309.2070m/z,309.2069509616,1,9.16,437.0459289551,0,13980.8644490532,0,0,0,0,0,0,0,0,34206.9666005704,35065.6229123365,19047.1813762321,122700.80211474,151108.575617917,21027.0395431985,28708.1158486019,33793.6860046376,702444.713890915,3738.6351928713,10987.2300460558,4188.4317016602,14116.0885238648,17801.4755249022,20610.6805801131,7066.256695352,892.270965576,79561.0574869002,54399.6582333142,61650.6576836895,25098.6722847559,8809.5012745001,41415.8841009987,41345.253254845,23161.8247577126,33855.6976432803
0.85_272.9610m/z,272.9609629084,1,0.8533333333,0,0,0,0,0,0,0,0,0,0,0,44719.8963252994,21275.1741027837,0,48306.7290762185,67317.1719589146,47452.1246434672,49326.9732441889,17276.1506522337,91187.8510856898,103501.34922635,79122.0945069385,6243.995586938,68976.4146313776,33672.6038849209,46849.1401495337,152688.11349739,92324.544602488,37685.0147017358,30511.7288113129,10492.1384887693,48179.2452053922,59803.5187935335,0,50662.627564701,67233.3929362462,15319.1549701807
8.97_236.1077m/z,236.1077444327,1,8.9733333333,18192.7019653322,17308.1540105364,807.2809143067,0,0,0,0,0,0,0,0,85979.9311522838,76619.4838188678,83207.1742772904,76201.9399182256,66600.2214526717,177056.546563302,63148.5148871946,82165.4221440147,73008.6736461662,63915.5672215803,142598.412213416,81036.0188472502,82236.8222587734,92828.7499318652,189618.311720842,25406.8836799298,16839.2211456312,71761.273662765,70728.8309627412,71617.4114229389,41248.0603530866,81342.3861858389,126161.850698655,111190.554408285,63603.844670656,80887.0802806743
0.97_367.0991m/z,367.0990855064,1,0.9733333333,0,0,0,0,0,0,0,0,0,0,0,25521.6996501047,10080.2332488544,4958.2398986815,62631.2198748217,34537.4410483352,42266.4380864484,12979.2083077817,1017.3432922364,12790.7167809199,7243.6628005341,15393.6274414073,8740.0781919748,24495.7196044919,0,65963.3005320716,6226.6239318846,9230.9528448513,7704.00753544,1855.8428365653,20677.2439575205,13865.6987991479,19335.006317139,33325.5623937266,3836.4903373429,0,1988.5986938476
6.55_343.8997m/z,343.8996592497,1,6.5466666667,12079.508249123,3635.7938805419,0,3025.9542846673,4915.5942192199,0,737.2297973632,950.2464599608,1551.1107788087,1056.0447082519,3347.8464965816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.81_327.2192m/z,327.2191535415,1,7.8133333333,0,0,0,0,0,0,0,0,0,0,0,142064.515919061,52022.1178803178,96489.8690322,897641.248024826,970817.106174964,449177.385366585,66512.2665100104,59638.0747070317,287540.439179239,12034.9466552736,20070.782012939,29155.5326232905,8388.4469249688,23431.3916625974,40859.7794799823,0,0,342501.187529761,225704.291515012,407322.93853213,70914.5104200578,18788.5809101189,91249.0586583307,333110.76086521,172410.116342252,375701.640262337
0.97_215.0357m/z,215.0357484514,1,0.9733333333,0,0,0,0,0,0,0,0,0,0,0,50906.1714477529,4096.4414672851,3936.166870117,213891.474293362,149277.511728099,82251.8814580596,19523.1286764806,0,0,152407.195487164,105504.789454247,103963.82167479,18956.578212716,861.4338073729,11322.8893872689,16773.3799968984,23782.6337521862,26118.1829833981,6843.7103565073,1109.4273681641,131703.314432229,57554.1789627329,88706.6538113171,92863.0414186951,24956.6432800285,29250.6401088451
1.04_267.0728m/z,267.0727962192,1,1.04,0,0,0,0,0,0,0,0,0,0,0,103953.011259992,44037.9907594054,93925.0729112148,114230.948000041,54743.568674308,43525.7393798854,26342.1163330076,7096.2122192385,4288.3484750165,0,0,370.499862671,5658.7570953377,3170.9454040529,8759.028869628,134052.852123826,176944.498857023,13701.4312184026,9462.3783874521,6958.844055176,6458.5784606931,3411.6228942868,7138.7218627931,12272.8422696921,14839.1440489429,21570.4290618898
10.17_293.2133m/z,293.2132735918,1,10.1733333333,0,0,0,0,2155.1462734359,0,1868.679420689,0,0,0,0,337551.423442557,186141.215943629,22593.3682250967,863479.806389326,970213.122267334,24056.2555389402,245417.383012457,141042.236236573,166497.89274077,33407.2765197754,72449.485701299,19027.8076782219,23348.641876221,24490.5596466065,0,25543.739940006,14292.3914794919,425613.495708841,284612.524238859,61140.5892639147,186974.236600986,70080.6411825657,38916.998596191,281668.192167954,223339.080220968,180569.247369815
8.97_220.1497m/z,220.1496654407,1,8.9733333333,1335.7794189453,643.361541748,0,0,0,0,0,0,0,0,0,14563.9301147465,12914.402053454,19151.7686413973,11294.8550109867,9732.6684268243,32272.469336795,10223.0496950701,16039.1623263085,12676.0182576052,11721.1766204833,30067.5821106579,11959.8224355439,12034.5690242048,15182.4104033929,34796.4411126172,760.1493835449,0,8667.2082519529,14234.3878173831,10351.2535662832,5496.5621060037,14317.6457894546,24937.6605064966,18967.5426330556,11345.4788513176,15545.3279331684
3.75_315.0741m/z,315.0741038749,1,3.7466666667,4127.1339135366,1924.9604690399,880.055694857,2915.7690366404,2079.0993542804,790.9595126608,1997.6947416725,705.7480885704,208.5974614822,142.4768997599,4381.7756952232,144285.926936927,38677.1728923755,86262.8764343261,1288718.64015782,820413.841325494,294307.605792636,86726.4030152114,73928.8824462915,115925.862717483,23798.7871551517,31738.5468635492,70635.2966624739,8807.8711833315,4730.529458018,8161.522796632,457493.484891632,261595.697463898,78339.0553435626,36697.6384582531,76156.746002196,269447.448140187,95225.4858398487,238051.327164249,206633.588879963,124234.869681099,190266.853639282
3.63_408.1523m/z,408.1522802913,1,3.6266666667,0,0,0,0,0,0,0,0,0,0,0,316701.666137698,148127.25704956,273210.123164572,14044.551809411,3567.9822387693,55169.5644836441,2575884.3259277,2589435.36178584,0,5830.2656860358,4093.5148315431,3949.4813842772,2880.4916992187,1155.7182006838,0,107859.256896975,196854.246497181,59105.9822692859,5951.2428283691,24096.9918823243,52840.1759033193,8666.2092590335,55356.0604553216,75188.1467285164,41966.4673156741,82256.7926337079
9.00_407.1686m/z,407.1686291568,1,9,0,0,0,0,0,0,0,0,0,0,0,6169.7485481563,1602.5118408204,3514.3280639645,4324.5372724996,2095.2508544921,13008.4748077385,1117.2437744138,2151.5590515138,2251.5123901363,1975.818359375,5634.198852539,3463.1685180665,6273.398010254,5882.8918457032,16622.9706420895,0,0,7058.1551513675,6644.0160072513,3100.804138184,3739.3767089838,3402.7571829396,13259.375579583,3373.4927368162,967.6917419433,3211.2776184079
0.99_165.0446m/z,165.0445936685,1,0.9866666667,0,0,0,0,0,0,0,0,0,0,0,30264.5513018335,7038.312530518,15501.6940472888,18456.3963891256,13077.9559271321,13336.9817342004,8507.6283863534,2080.1416015624,4073.4000174328,1411.5438651429,0,887.5721103971,2780.049850898,0,4129.4836671067,6705.9457189664,5739.7839036443,7488.4625304124,6682.168716431,9527.8844228478,2022.6304016112,0,344.3421173095,21204.0314293948,6530.3613891604,7963.2597672226
4.01_380.1570m/z,380.1569725733,1,4.0133333333,0,0,0,0,0,0,0,0,0,0,0,100825.585510111,21726.9107055667,146688.005615232,87168.0919189465,78738.5781355077,14932.4519653328,0,0,6980.7704467772,14958.0073242195,11031.8334655755,10142.051574707,16764.5279541014,73142.5107842568,154215.493660971,320438.250061041,299650.810526018,127262.993981553,31654.4268802503,102612.836521771,6692.7922210695,0,8265.922281608,613445.640423849,265869.739379872,371212.984452598
1.48_290.0896m/z,290.0896386017,1,1.48,0,545.6290439237,0,0,0,0,0,0,0,0,0,2833577.23224439,878143.269369415,1581671.48807829,1202616.88646242,698231.826467291,236920.865668308,13519.1168295498,1883.9892272951,7745.0347843865,244369.228927615,231152.173227925,255368.837717751,0,0,767.771270752,44963.8103688268,51595.0968463775,14185.7450561528,3190.4829254152,253711.634088661,57987.5904302196,14291.0442125418,35769.1546630884,298059.005840827,106441.493447723,1058135.47591719
4.76_305.0876m/z,305.0876170054,1,4.76,0,0,0,0,0,0,0,0,0,0,0,7808.9711088404,835.6009521483,6730.481536865,46381.7607116696,35042.2083129894,4959.4822998051,11579.1496734618,5833.7494506834,2252.947631836,0,0,0,14640.0518188477,5964.3051318392,8924.2206039425,63946.3291778599,172689.064819326,241807.177746009,96361.768859867,179690.562357008,45127.2350463875,14835.3016967775,34789.245422362,29636.6041510574,12427.1212615964,11989.3264465334
1.16_617.1623m/z,617.162305289,1,1.16,0,0,0,0,0,0,0,0,0,0,0,26785.3345730174,1877.8172607416,4484.4447496144,1799.9124755859,15747.8453795081,1891.3577306981,32489.4071352867,48579.0539978755,31671.4799508134,56405.6503690636,9879.7688598648,25836.3455555651,18850.4026716451,0,0,45539.8310788374,65312.8721637595,18608.1038818363,8598.4430721877,1377.2653808591,86024.9162944945,33375.4856710382,86856.9353763331,19564.7378456887,834.3198547361,0
0.81_288.9398m/z,288.9398474303,1,0.8133333333,0,1569.3828735352,0,0,0,0,0,0,0,0,0,1052.1810302735,857.8024597169,164235.749137391,10686.6695157694,12788.3627319318,28686.4215537407,4690.4580993649,0,19668.795898438,1032.6112670895,0,8246.0920094512,16072.9704589835,5865.1609432602,14734.7437825678,1873.3771972656,24849.1416168217,38268.221810882,27283.5248940158,23222.7077015516,4311.5899047851,1216.7690429688,378996.113364976,17193.5070800764,7573.7506650831,4240.0148925778
4.23_359.1026m/z,359.1025825345,1,4.2266666667,0,0,0,0,0,0,0,0,0,0,0,22965.595254209,0,11050.4499206539,27030.1660156233,28424.1411132777,12132.3849217631,586.3173221575,0,0,6662.1416625971,971.0400085447,1736.5238647462,25302.5269270176,18676.9636535645,29095.5766980077,143327.294386378,164781.454093518,7845.4766845699,2467.0826184865,3505.2921142577,123039.207529069,45923.4160766639,85567.5492837837,201298.372172072,88805.4400416018,65189.7572988491
4.25_203.0859m/z,203.0859295812,1,4.2533333333,0,0,0,0,0,0,0,0,0,0,0,3176.3931579588,1158.9127960206,4509.6484985349,12630.4840650087,12741.9290771481,5991.2810058595,31340.6127957521,21156.2326660156,50401.8518371571,909.029937744,0,0,54374.1471524338,68827.5385367474,86267.9009144237,2102.3377685545,3855.3883056644,1123.2528906716,0,737.6526578439,88363.1296381725,42379.1039123532,73402.9282520938,10974.9465821561,7122.134277344,2741.4159542837
2.52_282.0860m/z,282.0860200592,1,2.52,0,0,0,0,0,0,0,0,0,0,0,180823.348612998,100898.355817667,420846.948483251,1124.940246582,7787.6343078613,2776.6678466792,0,0,400122.761427061,2586.1827936631,23043.3572567717,30120.9786622839,3353.2896423341,15196.9257163146,482183.247664496,48826.0966796885,66290.3753932652,1039.266113281,2086.5041503909,50931.5274608772,13806.835174561,0,135963.617136941,10970.5655517566,4210.14352417,62469.3316284376
4.51_349.0626m/z,349.062567513,1,4.5066666667,0,0,0,0,0,0,0,0,0,0,0,10839.6434685588,524.8636932374,6727.9265732144,8587.6051375579,7812.1327514643,1164.8545532228,1394.0144323045,0,630.0029907227,3591.6362406647,5427.3137817386,1489.6188354492,610.3820800781,3986.2091262233,1788.4496742433,1123.4359532912,0,3003983.65014178,1491841.48101808,2464989.18416435,7615.5087710158,20123.9897460948,2699.8977050773,1215609.52653217,793163.056348517,1002121.75684671
