,,,,,,,,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),Blank#1_Seg1Ev1,Blank#2_Seg1Ev1,Blank#3_Seg1Ev1,Blank#4_Seg1Ev1,Blank#5_Seg1Ev1,Blank#6_Seg1Ev1,Blank#7_Seg1Ev1,Blank#8_Seg1Ev1,Blank#9_Seg1Ev1,Blank#10_Seg1Ev1,Blank#11_Seg1Ev1,cR8#1_Seg1Ev1,cR8m#1_Seg1Ev1,cR8w#1_Seg1Ev1,cR15#1_Seg1Ev1,cR15m#1_Seg1Ev1,cR15w#1_Seg1Ev1,cR26#1_Seg1Ev1,cR26m#1_Seg1Ev1,cR26w#1_Seg1Ev1,cR27#1_Seg1Ev1,cR27m#1_Seg1Ev1,cR27w#1_Seg1Ev1,cR36-2#1_Seg1Ev1,cR36-2m#1_Seg1Ev1,cR36-2w#1_Seg1Ev1,cR41m#1_Seg1Ev1,cR41w#1_Seg1Ev1,cR44#1_Seg1Ev1,cR44m#1_Seg1Ev1,cR44w#1_Seg1Ev1,cR59#1_Seg1Ev1,cR59m#1_Seg1Ev1,cR59w#1_Seg1Ev1,cR72#1_Seg1Ev1,cR72m#1_Seg1Ev1,cR72w#1_Seg1Ev1
1.03_543.1368m/z,543.1367815,1,1.026666667,0,0,0,0,0,0,0,0,0,0,0,84559.42813,90014.43286,110985.7352,36481.54342,50570.62219,17764.80219,94949.56418,188940.0168,140761.8015,78282.5004,46928.03457,94328.18782,217137.9753,48418.95,48802.66671,74244.97412,94411.09097,328806.4914,288895.8232,115995.3356,117023.1093,84535.49789,159394.7914,509299.8481,342434.3944,193357.6981
1.01_133.0612m/z,133.0612208,1,1.013333333,0,0,0,0,0,0,0,0,0,0,0,425.2813721,787.5419922,587.1884243,279.0906219,931.6325226,272.3188782,13203.15152,17189.98316,8630.863037,13689.6763,18280.56122,8362.446823,15336.20634,30100.37992,13941.69229,45095.89918,40265.58085,297.7369232,693.9973145,654.2563171,19918.16524,48514.99877,32973.11529,6719.779408,2882.094721,4691.085891
1.03_354.6139m/z,354.6138962,1,1.026666667,0,0,0,0,0,0,0,0,0,0,0,3324.688845,5855.682443,9479.496399,850.6652222,2103.417542,1746.964478,23695.11855,8591.543457,17941.19513,2191.070969,727.4424438,578.7214436,4785.046646,6206.921936,7611.714978,24752.2881,17166.70924,20866.11628,15560.57245,1798.605652,1828.643173,1508.69519,4331.253326,6184.248785,14789.61634,4954.573029
1.03_354.1098m/z,354.1097648,1,1.026666667,0,0,0,0,0,0,0,0,0,0,0,15374.76238,35805.15144,51288.36227,12705.27615,24586.61805,36191.68951,80251.24147,34025.46026,76392.00425,15543.99236,2654.629456,13925.12891,31641.59837,30976.14478,35660.00466,98054.5017,66804.46967,34171.35912,25166.54531,23380.51941,16737.03231,10184.89658,23193.0862,40473.07201,70049.24671,36524.49789
1.01_221.1762m/z,221.1762338,1,1.013333333,0,0,0,0,0,0,0,0,0,0,0,28793.42031,6577.533246,15808.38789,106038.47,67648.43123,74372.32025,39105.5024,26055.3504,38713.82202,4078.502198,5442.063355,8059.456237,227738.0931,114314.7174,175209.252,14524.65539,16005.11022,411357.4447,286648.5394,301045.4877,35507.06339,15968.36257,40246.8712,116116.0954,89927.11987,141996.3451
1.39_288.0403m/z,288.040319,1,1.386666667,0,0,734.4423828,0,0,468.4436798,698.3315923,580.1361847,0,0,0,288367.2496,285820.4937,380512.8737,70387.77636,177928.8345,240814.7627,139065.7631,274348.6606,345540.306,241208.2255,371230.4281,533553.0314,96070.97075,176326.0121,220871.0595,224665.036,224514.0386,65437.18826,101446.7904,218206.4389,252911.5768,311341.0275,446325.6843,99483.65704,182049.9481,296408.8942
1.00_337.1667m/z,337.1667433,1,1,0,0,0,0,0,0,0,0,0,0,0,587838.4896,543357.679,660302.659,285894.8929,302763.808,259922.2714,30490.77807,100299.0547,61940.73276,2065871.94,2620049.928,2788691.007,17556.01349,4494.090973,14067.2744,211777.0786,306877.5053,8930.119957,32815.52225,18808.98547,1134574.587,1324109.327,1329074.645,136298.8427,142033.3186,252304.1094
1.01_104.1084m/z,104.1083898,1,1.013333333,0,0,0,0,0,0,0,0,0,0,0,156521.9032,68515.69679,114879.0674,154235.8303,129970.4695,80151.71378,120083.1576,112055.4443,96057.72469,100023.3215,92660.41878,113700.6535,140455.3896,99925.38348,126110.7094,59154.79146,71369.253,145078.9337,66502.06662,78151.8976,93251.09094,56174.29894,85606.4696,156675.1322,103623.5067,135138.753
