,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),blank-1,blank-3,blank-4,blank-5,R8-1,R8m-1,R8w-1,R15-1,R15m-1,R15w-1,R26-1,R26m-1,R26w-1,R27-1,R27m-1,R27w-1,R36-2-1,R36-2m-1,R36-2w-1,R41m-1,R41w-1,R44-1,R44m-1,R44w-1,R59-1,R59m-1,R59w-1,R72-1,R72m-1,R72w-1
1.64_111.0051m/z,111.0050601862,1,1.6432,0,0,0,0,226282.581771691,116859.935492114,272566.937175751,175994.941076482,323000.441818066,269546.231124129,182258.27503858,120921.655369014,169371.164446971,58897.9003697367,80693.3103650864,121021.751277483,111967.794289893,73036.5916315962,165965.363326802,128993.549293003,174333.860879371,118997.857502031,38643.535960327,188144.464589987,245988.147989521,275231.061582419,276733.66077038,187420.107904717,141010.209985378,216163.980151999
4.79_102.6911m/z,102.6911079962,1,4.785,1618.1212881294,1169.3323287964,319.5151065728,214.6167300934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.73_113.1001m/z,113.1000510375,1,1.7310833333,0,0,0,0,2980.9424170349,1578.0896640451,2001.4447009654,2547.477448217,2067.033990554,2635.7869866833,3122.6408259375,1346.8449477669,2472.019415678,2536.5436149883,1377.1360110027,1881.6641297077,2203.6057263839,1392.1087760925,997.3838706903,2650.2072463707,3791.0510792391,4011.9963830502,2212.7642663664,9785.6204605102,1134.2485413559,1212.9733960257,2259.7478748809,8983.5890376104,28732.279373311,43934.4800759995
5.96_593.1724m/z,593.1723718905,1,5.9603,0,0,0,0,51486.1812929754,21275.029188468,26474.5765417811,261860.691740085,237076.571033062,98597.1294708196,20894.6945051386,11473.7124471861,8672.5430622484,86891.5000912339,37436.1751246984,79124.0736396126,1503388.49971921,815170.174175172,156482.455593581,130302.087549212,77070.1265347604,246797.107748051,133961.766364249,136720.99856033,16039.2850765425,9772.6324297909,10513.2954128789,98085.100755389,48091.9873289225,95229.0500751979
1.26_537.1522m/z,537.1522400046,1,1.2587333333,0,168.3200302124,0,0,153584.577836239,163890.333484519,204900.43638673,120590.763401414,290014.425072121,100101.957230341,499370.361961518,315977.685044232,147399.427553228,30403.4892825668,22152.4452244181,25996.0378500686,107821.82649124,78069.8368936524,83814.5500892028,90648.1906311415,112001.397958886,21924.0784818173,45713.0295370075,17114.5979234692,76708.8695071112,42979.7918744667,59478.9706588027,94195.6701107729,72754.1406837417,69767.6376508157
5.21_537.1860m/z,537.1859978324,1,5.2133833333,0,0,0,0,251265.635781975,150894.720027145,182119.294702667,11827.4899256741,27152.2235978895,21338.1216053454,1546.5140850931,657.4471859148,590.5994865054,21362.3011209269,24627.804974082,24944.1724495804,9095.6315988508,7019.1366826549,4929.2854496752,3970.1738903827,7426.5269045567,11013.2628073824,36713.9923373692,11724.169542502,25205.5330627603,7490.2890632641,1029.1871142796,4462.5440685966,5483.523013054,14187.6212977709
4.80_593.1694m/z,593.1693911095,1,4.7959833333,0,0,0,0,39116.8740568306,7768.6142105031,54116.0694400034,83067.9584145118,131180.582665691,45945.2315239724,7277.4971050377,951.6538467407,1023.7226237079,768142.927021322,548069.408891771,776164.083678262,51549.2443333401,25616.943352378,39206.6082612478,94560.2018241121,43088.7913002262,36958.103449598,18310.4695536361,11259.0808985437,34441.0991615576,14403.7318849041,6640.3794272386,6200.3504928938,8658.9076115168,17323.0230491497
1.85_187.9341m/z,187.9340687801,1,1.8519,0,0,0,208.9390029907,11890.6941995505,4934.8441611796,10698.685168139,25844.9143037556,31072.1337789045,15800.8678239175,7198.723610142,33466.3942319637,17876.5081107018,7709.751168411,8401.8641967946,11762.4032884723,6646.9312531234,8714.048482415,9798.9306471299,26080.0411543361,17488.059528773,20450.4993845752,10236.1244333475,15507.9775315237,3493.41706538,4521.4630771146,3690.1948932573,10862.8359987269,19286.3171621425,11246.3728806838
1.04_273.0053m/z,273.005283317,1,1.0390333333,0,277.0173290198,0,0,84201.9365136068,58601.9198441334,34236.3139333413,75014.5210630566,92591.9510861142,67911.6284990434,71648.4150171652,55514.4484864093,123640.92228047,121411.030746956,121546.149007002,51623.7329806062,97597.60769993,67224.1922918152,92460.2737842784,199468.778749063,152171.997167305,61864.0586697886,58740.9500311946,65653.5284187841,85910.7743650318,97213.8656534451,979.2530606285,64496.9607983057,87321.5991936117,68937.6784639552
1.81_113.0555m/z,113.0555397922,1,1.8079666667,0,0,0,0,1347.5268660625,686.537981246,1548.0040110561,1900.365508272,1049.1944958836,1857.7498973755,798.2581617516,900.1911912981,1445.6353363802,1278.9189119359,601.615261,1936.9962544552,441.5880961898,86.3927328022,991.9295076393,1322.3169452582,1045.2020068911,1342.5421853261,3517.0813490757,13159.5066086495,1647.705771264,312.1809995675,1232.9953006414,5399.4261356172,38238.3311767581,64589.9888096218
1.05_516.8578m/z,516.8577654261,1,1.0500166667,0,0,0,0,15284.0372700645,6581.3499894665,1392.6078345634,31103.5712367122,23886.8499748553,16351.986690098,11725.515687454,1466.3072715276,55038.0373716303,16596.710326721,2575.2063993384,479.2296328843,37559.4412940891,24421.4052189732,33589.0439311854,28285.3205087466,13811.5328388993,23496.5793448923,29500.627023999,69.834465733,12438.2207471635,2184.8625183106,1028.6021527522,33647.3048294443,25361.1124766366,2069.6658563466
1.52_187.9787m/z,187.9787218347,1,1.5223666667,0,29.9198821751,1.1247879328,79.2643109127,8045.8189465618,7258.9994505013,4915.5838389931,28590.758203236,11102.2776692175,6109.5655090305,8880.9667078436,6851.246342894,2356.3755744664,6884.6319937071,6306.0530876129,2608.846842128,10995.2275654191,5633.7544479734,8671.5606678665,5480.9055778525,1526.1168963233,20238.4201278811,9170.7867752666,11013.3934537019,4301.1890969126,2741.8281368838,2200.5878486634,9097.0139905729,9679.5298460315,8347.3879830577
1.26_539.1245m/z,539.1245149892,1,1.2587333333,0,13.1789892364,0,1791.7811071136,78687.4937864132,84097.9438993914,77462.5397746578,76705.3444945822,199322.451498917,45569.8295123715,227411.313599243,229285.236815526,105796.96517525,163863.48429396,225093.746710219,130847.903780236,148798.378094119,55795.0296840974,50767.2103034608,74221.475883979,85847.6481657754,224328.700788447,150062.68653167,42282.1088099136,198309.010349395,172881.451698415,207390.932405049,850809.923897562,448815.780078598,210241.77179468
3.94_315.0612m/z,315.0611748782,1,3.93915,76.1892076331,0,167.4875462382,0,100210.971165546,46196.5175276417,102262.622121065,772366.469887693,639242.467263998,306562.610153814,132710.83944518,82479.111810111,165137.533309534,70867.3549378268,131253.929685568,205564.786785663,26201.1021859051,21784.3833045963,19334.7587576299,449664.80290266,328426.598173602,122963.542058053,100085.387223528,130377.516690507,234082.199786692,123545.069565626,222632.612422084,219184.856671753,152843.042257267,225170.710353997
1.41_503.1435m/z,503.1435155384,1,1.4125166667,241.4897800977,0,0,454.2141987775,217698.81469989,145034.181867386,204577.212088067,199546.856648325,93949.4863146029,94642.1623693673,178514.281403258,458735.604216825,334971.10862357,195034.353315851,256525.941398784,232623.692519024,264980.062437161,154562.714728726,134812.437812948,139847.785107745,179376.682802362,272764.747751839,79047.7911425174,39142.723290788,257558.615065336,248116.1869082,363922.181753573,171731.635264933,105335.993542174,52535.2899149194
1.76_128.0793m/z,128.0792871907,1,1.7640333333,1124.6532769704,0,46.1831525173,0,1914015.02099821,442655.298359018,640881.970266562,574144.601072658,287017.867674362,149468.609872842,229393.205681579,85932.9358198976,94172.8503135177,215871.962849538,167201.132532718,188020.365570076,132235.984326243,52181.2638288403,74965.7481038916,141595.156089654,174642.198232137,136052.872571691,32512.8146386913,83333.8759337308,139287.259538148,66732.8856629422,107717.122570747,210481.837251501,77115.2032227471,131467.959751102
9.31_587.3917m/z,587.3917107116,1,9.31055,4621.8531839277,0,0,0,177770.214533647,144113.289425146,213218.19457529,147874.550855341,127942.581781997,255577.572962469,97526.9271013787,132493.958251439,116274.787803803,117613.810370661,212081.349487154,131041.221382197,117884.854192083,165825.571193948,268354.527733653,115013.743243779,38701.7897074095,141665.213427132,128035.634906456,108407.05796598,186131.772187295,292170.56590594,307896.174051715,181379.952647135,116622.769370728,138897.151709707
1.21_195.0428m/z,195.0428169518,1,1.2148,316.0217295253,491.5248788846,154.9070247416,1044.0275631413,388876.791095988,235923.243987642,333404.350247324,760807.61947975,716314.725827425,549198.879589178,1005169.47424942,519504.591862539,421612.878944395,49723.8906620537,41402.4084953566,59787.0725159917,960302.230450662,141771.215814705,193166.353519546,120148.0354796,181218.404499606,192193.02642337,182328.021201344,186521.696853638,114466.807228089,65618.1272114452,88717.6122061897,141419.516338732,95430.4549084445,95984.6228269092
