,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),blank-1,blank-3,blank-4,blank-5,R8-1,R8m-1,R8w-1,R15-1,R15m-1,R15w-1,R26-1,R26m-1,R26w-1,R27-1,R27m-1,R27w-1,R36-2-1,R36-2m-1,R36-2w-1,R41m-1,R41w-1,R44-1,R44m-1,R44w-1,R59-1,R59m-1,R59w-1,R72-1,R72m-1,R72w-1
1.23_234.1371m/z,234.1371411147,1,1.2312833333,0,0,0,0,284126.310107786,202982.326154768,214198.940124512,211605.297797207,230181.833704319,137021.917114257,23016.1638977219,19338.9584872259,43854.1931881467,77383.9835006191,45736.9143626091,41683.1781152517,149003.823054784,181866.54937344,138064.109529373,78950.5914850947,68919.9288126461,52618.4866668384,76298.0501881728,32091.8078132305,40413.6267424702,27389.5533243811,35274.1787339562,98877.5769241526,142095.627000012,71298.9665996887
1.65_439.0397m/z,439.0397416001,1,1.6486833333,0,0,0,0,23978.3534758341,103734.255710757,101766.235310189,215555.158320118,307452.541185522,486112.873460121,355975.493695913,266046.560567991,313715.876393198,35796.0135230475,21021.4317508256,91122.6980244219,72203.6826839315,191426.692940881,289191.638189946,69756.5731753974,274084.821215108,263160.990644923,49335.9539629944,349780.381150115,64409.4286255292,64745.1519445637,96345.7237036391,142485.51320751,185839.115164266,91013.6315206822
1.45_522.2664m/z,522.2664437294,1,1.4509666667,0,0,0,0,391459.018198939,224400.459628071,227803.251506611,20929.7734402513,19897.1027888877,46806.2556213665,162797.621889841,317230.6290129,187057.571163416,326273.698634569,326262.907921086,315895.687992514,10098.8263416009,36625.2487413757,32556.6430546427,40637.3610140406,158850.548085983,120413.642005928,93298.2063316584,21364.4115530916,378357.807202654,469490.380013222,500622.696822374,172341.90707987,51944.4056570686,11496.4803121413
1.63_291.1736m/z,291.1735708285,1,1.6267166667,0,0,0,0,299599.90957436,187616.573626491,612788.026085764,55935.2939453132,30866.5832612094,35922.4652735457,3304.5022125244,14371.069819637,28933.4991141379,494183.37676722,454966.974064608,777346.289239598,82722.2856112789,64411.3336019059,102924.088904739,116119.35621136,189347.328857424,16203.2881114299,2389.7386918348,46291.1183508044,348668.814915876,205127.685995825,437099.934157566,275389.22562246,157356.999581635,287348.006820818
4.05_384.1294m/z,384.1294175092,1,4.0544833333,0,0,0,0,275966.728980019,108678.057065383,388768.043081983,48418.657207294,103223.923672592,90882.0499722801,17944.5490722657,12418.1546107423,22864.6638211499,232.2390926187,99772.1833295594,35762.9013671872,510805.571208835,386412.431703534,645699.681061415,62325.4009412001,23719.4255511085,135680.277930241,100697.54828026,213837.294459494,88279.6263797015,37050.3777261269,33431.129577637,101840.944702171,129291.905396227,98602.017877025
1.31_543.2052m/z,543.2052125402,1,1.3081666667,2942.8381146622,0,0,0,1788914.18883414,1094523.51222749,1878048.63139527,972604.375599448,1163403.66225844,501705.126156028,1028113.69692639,1125631.28851022,1605443.36722017,1351910.99284688,1084481.3196189,1882011.0161907,1405426.10346007,391350.923297159,520076.736052731,954289.325269421,1152232.88111662,2561159.29542139,1567435.90078827,1486032.25563343,1666848.3123163,1226410.29236814,2173658.48300654,4556493.77606787,2328576.80936401,2099056.77026321
4.34_367.1455m/z,367.1454755585,1,4.3401,0,0.0351988805,0,0,250841.105747965,108363.393400502,274630.487765994,1446765.30217555,1506094.19296871,700344.088460568,37313.24840872,47902.8049879395,46643.9814560082,18539.0878906253,300701.561451658,365222.479855597,24798.6739861462,47868.9818804436,77844.9265256832,1037.055455112,173412.638781113,97027.7721177714,80711.9179593936,113717.188835277,1038343.68523076,539764.243391482,1252496.76716512,785799.771747058,646699.443068927,1021005.70919944
1.06_110.1010m/z,110.100996791,1,1.0555166667,0,0,2910.4450130686,0,207260.953799536,144371.346679687,370516.378460736,237430.083312989,339940.856193997,238645.292663574,135787.733002018,177572.767423929,345337.094970704,563619.310180658,625773.268920894,513980.215152264,258391.160278322,222149.973669247,336656.183530075,465984.95702062,477776.297729495,181848.033476043,185119.487182616,215745.075280319,296964.676063537,343368.776084217,443329.493181368,332941.883384815,364365.809550555,370333.040554513
1.71_256.1749m/z,256.1748697041,1,1.7146,0,0,0,0,906518.916992188,482982.037414117,867735.854262739,732849.86979978,627398.535728217,312681.7794744,33514.9390987836,8317.056960048,10300.4009794014,430430.46994102,375761.001958722,504959.9620348,26425.2332897607,1193.8314199129,4366.041887622,34666.3610127676,66430.5797947854,5130.5941267345,1993.8358678503,21524.3626586423,403537.959423043,178158.77480418,291978.266255251,217020.506380032,169743.900555903,311600.646313359
2.12_229.1853m/z,229.185303042,1,2.1210333333,443.8423371541,0,1.9907466338,239.5170977828,357640.831179329,49018.3933078667,224038.009993035,490445.918334548,578207.628360231,241203.35618503,647430.342580842,391671.920208406,328882.391585754,307784.217629812,385105.680936193,553890.867795229,407011.706179214,339750.111030621,398022.315437552,492809.86023921,777671.324444645,800550.139091953,191867.811029478,387793.122399579,322585.788418526,193297.204400439,395057.375592714,1238120.12006431,911294.264831984,1372068.03859873
1.26_381.1085m/z,381.1085083153,1,1.2642333333,0,1212.8860768995,0,1727.5943093164,4065276.57927892,3296723.87879305,6032583.3797729,2604946.07734512,3593702.75814608,1854953.28606702,2720775.07486285,1801045.96798731,3699523.0636473,1549122.21971991,1081864.08851727,1801040.86574436,1084506.96850161,1649351.98613702,2266462.40780141,3675858.33424823,4511602.50100255,715364.083040432,862913.282118047,781914.462244192,3580178.74851135,1718515.37656976,3546274.77995428,3902031.75667972,5023427.01756289,5746072.36922637
1.73_274.1554m/z,274.1554125269,1,1.7255833333,0,578.0123133,0,0,1579564.13996585,769133.683653669,1515484.33576968,1176632.73334571,1004202.96589376,510000.075651448,10996.4328949346,21581.8174739724,42313.1392843624,979865.940146136,1025441.94717567,1384404.79224136,81980.8837290106,23173.5422610706,43080.3100358313,122162.738686349,176096.382718771,75762.4686700865,17267.3414780368,61332.7894494462,617769.595630543,288914.060933219,440033.954238863,688354.733726349,364589.032270397,526601.649552378
4.93_167.1178m/z,167.1178226258,1,4.9332833333,0,0,282.156236181,0,105487.178567206,30568.1250565689,94136.8087999689,55038.9414062502,71239.6183398332,24221.3802563862,85951.5154345598,87605.5875486956,51494.8765705192,15658.7136247217,7916.643005371,10542.968200684,32981.4499461545,20314.2602562456,16069.3156162076,6093.8400878908,8997.8056699911,433775.598774135,364516.808545943,251705.57825572,28676.1141491854,9423.7090351237,3097.6025069418,28380.2714843742,72848.4433627768,48058.2976741301
1.69_289.0797m/z,289.0797382687,1,1.6926333333,0,0,0,0,20679.5403033791,22844.727571219,29029.8519034212,37.9086962024,7225.9221306767,6650.0825877181,1397.7480468751,29464.9270867043,78057.8585677895,179460.35346584,119174.605025815,150029.981489577,37276.0167408885,61985.6276458934,67710.7544690409,23204.8662572014,13101.9518546543,672.3023140444,17122.721437689,21486.7453413018,210320.725160622,154723.700429481,185121.860081294,13164.4983993606,21873.3747910427,65507.4277057171
6.12_499.1911m/z,499.1911237654,1,6.1195666667,0,0,0,0,1480669.60263974,1222599.68048827,362260.297664978,2237.2456417776,2711.8563232421,9748.3710359854,10413.1085748555,2071.4036060036,39076.0381095243,1516826.26947905,1178990.28781526,1141231.35436931,42028.4140810178,120900.809605924,14995.437969218,49950.3197662362,28310.7737511861,11335.2208193255,6088.8441162109,23201.2148135515,865746.116737916,443725.908316435,1729.7517867569,228656.785841012,289897.09265265,52959.4567789693
1.42_360.1280m/z,360.1280054792,1,1.4180166667,388.5712269626,1001.6474953345,0,102.9138170228,139433.944227047,303940.611666733,258926.203387435,106281.129041421,159216.527125133,173979.618263057,300173.620595531,150523.358212657,344106.437719249,74127.085245277,100424.768955287,93441.1015367457,148963.317519221,130781.266348653,208419.496620563,231784.677833582,238894.924818552,112939.192042316,33658.5261840455,161174.381510512,103424.269974392,148947.226175512,141872.360040435,143134.518416907,130484.057058987,296444.285214711
3.01_152.0975m/z,152.0974970165,1,3.0108333333,0,1598.8904704258,0,0,3356208.18457028,1171818.74853602,3825742.12744266,359614.563067532,319791.315852777,157018.71273427,2653.0828660978,104725.495473755,3543280.9268286,401679.079774682,574429.277384241,1026276.00483083,402879.262996428,303173.447929007,4575987.13209805,726042.965209775,1171823.43377177,266988.383141565,161629.639693025,1219601.93782758,538958.781860351,115375.119331077,3660368.95038863,614670.764969459,332053.912523078,4749579.40344641
1.26_291.1679m/z,291.1679074461,1,1.2642333333,0,0,0,3286.3372099623,221232.78305188,378252.272069985,464414.833849696,205051.145649583,510866.789189273,432940.475306268,10796.212826303,11754.0782312645,70953.8220202648,15893.2048623428,228881.601140154,63835.3802802603,9972.7228872894,101779.036845109,89198.0834266305,80154.2255265984,49989.3583229908,6901.9902545381,23991.8542968981,73842.8225265945,89115.9982462565,170711.363885411,146110.464912762,45777.3963608354,280620.009189419,199512.206574719
