Label,Species name,NCBI name,Part
1,Althaea officinalis,Althaea officinalis,roots
2,Aronia melanocarpa,Aronia melanocarpa,fructus
3,Bergenia crassifolia,Bergenia crassifolia,roots
4,Betula pendula (leaves),Betula pendula (leaves),leaves
5,Betula pendula (buds),Betula pendula (buds),buds
6,Helichrysum arenarium,Helichrysum arenarium,flowers
7,Sambucus nigra (flowers),Sambucus nigra (flowers),flowers
8,Valeriana officinalis,Valeriana officinalis,roots and rhizomes
9,Ginkgo biloba,Ginkgo biloba,leaves
10,Melilotus officinalis,Melilotus officinalis,leaves
11,Origanum vulgare,Origanum vulgare,leaves
12,Panax ginseng,Panax ginseng,roots
13,Rhamnus cathartica,Rhamnus cathartica,fructus
14,Fragaria vesca,Fragaria vesca,leaves
15,Hypericum perforatum,Hypericum perforatum,leaves
16,Viburnum opulus,Viburnum opulus,bark
17,Coriandrum sativum,Coriandrum sativum,fructus
18,Urtica dioica,Urtica dioica,leaves
20,Frangula alnus,Frangula alnus,leaves
23,Convallaria transcaucasica,Convallaria keiskei,flowers
24,Potentilla erecta,Potentilla erecta,roots
25,Tilia cordata,Tilia cordata,flowers
26,Linum usitatissimum,Linum usitatissimum,seeds
27,Arctium lappa,Arctium lappa,roots
28,Tussilago farfara,Tussilago farfara,leaves
29,Juniperus communis,Juniperus communis,fructus
30,Mentha x piperita,Mentha x piperita,leaves
31,Calendula officinalis,Calendula officinalis,flowers
32,Tanacetum vulgare,Tanacetum vulgare,flowers
33,Plantago major,Plantago major,leaves
34,Artemisia absinthium,Artemisia absinthium,leaves
35,Leonurus quinquelobatus,Leonurus quinquelobatus,leaves
36,Silybum marianum,Silybum marianum,fructus
37,Rhodiola rosea,Rhodiola rosea,roots and rhizomes
38,Matricaria chamomilla,Matricaria chamomilla,flowers
39,Senna alexandrina,Senna alexandrina,leaves
40,Polemonium caeruleum,Polemonium caeruleum,roots and rhizomes
41,Glycyrrhiza glabra,Glycyrrhiza glabra,roots
42,Pinus sylvestris,Pinus sylvestris,buds
43,Populus balsamifera,Populus balsamifera,buds
44,Anethum graveolens,Anethum graveolens,fructus
45,Viola tricolor,Viola tricolor,leaves
46,Equisetum arvense,Equisetum arvense,leaves
47,Humulus lupulus,Humulus lupulus,seeds
48,Thymus serpyllum,Thymus serpyllum,leaves
49,Bidens tripartita,Bidens tripartita,leaves
50,Prunus padus,Prunus padus,fructus
51,Vaccinium myrtillus,Vaccinium myrtillus,fructus
52,Salvia officinalis,Salvia officinalis,leaves
53,Eleutherococcus senticosus,Eleutherococcus senticosus,roots and rhizomes
54,Aerva lanata,Aerva lanata,leaves
55,Echinacea purpurea,Echinacea purpurea,leaves
56,Eleutherococcus sessiliflorus,Eleutherococcus sessiliflorus,roots
57,Aralia elata,Aralia elata,roots
58,Oplopanax elatus,Oplopanax elatus,roots
59,Inula helenium,Inula helenium,roots
60,Helianthus tuberosus,Helianthus tuberosus,roots
61,Angelica archangelica,Angelica archangelica,roots
62,Acorus calamus,Acorus calamus,roots
63,Rosa majalis,Rosa majalis,roots
64,Sambucus nigra (roots),Sambucus nigra (roots),roots
65,Levisticum officinale,Levisticum officinale,roots
66,Aegopodium podagraria,Aegopodium podagraria,leaves
67,Bupleurum aureum,Bupleurum aureum,leaves
68,Pimpinella saxifraga,Pimpinella saxifraga,leaves
69,Heracleum sibiricum,Heracleum sibiricum,leaves
70,Daucus carota,Daucus carota,seeds
71,Petroselinum crispum,Petroselinum crispum,seeds
72,Foeniculum vulgare,Foeniculum vulgare,seeds
73,Pimpinella anisum,Pimpinella anisum,seeds
75,Asarum europaeum,Asarum europaeum,leaves
76,Cichorium intybus,Cichorium intybus,roots
77,Dioscorea caucasica,Dioscorea caucasica,roots
78,Taraxacum officinale,Taraxacum officinale,roots
79,Hedysarum neglectum,Hedysarum neglectum,roots
80,Astragalus membranaceus,Astragalus membranaceus,roots
